,样本 (S),建筑立面 (F),建筑立面占比 (F_ratio),窗玻璃 (WG),窗玻璃占比 (WG_ratio),栏杆 (R),栏杆占比 (R_ratio),设备 (E),设备占比 (E_ratio),天空 (SK),天空占比 (SK_ratio),树木 (T),树木占比 (T_ratio),道路等 (RO),道路等占比 (RO_ratio),窗玻璃占建筑比 (WGR),设备占建筑比 (ER),建筑墙面占比 (FR),建筑立面H均值 (BH_mean),建筑立面S均值 (BS_mean),建筑立面L均值 (BL_mean),建筑立面H方差 (BH_mse),建筑立面S方差 (BS_mse),建筑立面L方差 (BL_mse),窗玻璃H均值 (WH_mean),窗玻璃S均值 (WS_mean),窗玻璃L均值 (WL_mean),窗玻璃H方差 (WH_mse),窗玻璃S方差 (WS_mse),窗玻璃L方差 (WL_mse)
,S,F,F_ratio,WG,WG_ratio,R,R_ratio,E,E_ratio,SK,SK_ratio,T,T_ratio,RO,RO_ratio,WGR,ER,FR,BH_mean,BS_mean,BL_mean,BH_mse,BS_mse,BL_mse,WH_mean,WS_mean,WL_mean,WH_mse,WS_mse,WL_mse
1,F1,3083153,0.3792,1908224,0.2347,1187,0.0001,0,0,2175377,0.2676,867611,0.1067,94528,0.0116,0.3823,0,0.6177,0.4688,0.0985,0.5301,0.0253,0.0041,0.0366,0.541,0.2363,0.3993,0.0008,0.0051,0.0159
2,F2,3366396,0.1808,2564396,0.1377,1398213,0.0751,86926,0.0047,7110571,0.3818,6006568,0.3225,-1908604,-0.1025,0.4261,0.0144,0.5594,0.2501,0.0895,0.4921,0.0304,0.0219,0.0328,0.4593,0.057,0.4217,0.0182,0.0042,0.0273
3,F3,7201136,0.3328,2309981,0.1067,0,0,0,0,7564710,0.3496,5521670,0.2552,-957177,-0.0442,0.2429,0,0.7571,0.4774,0.0627,0.5716,0.0285,0.0156,0.0554,0.4224,0.0334,0.4014,0.0268,0.0009,0.0219
4,F4,5808438,0.3776,1014805,0.066,745635,0.0485,46179,0.003,4894357,0.3182,2622786,0.1705,249512,0.0162,0.1477,0.0067,0.8455,0.1745,0.1543,0.4424,0.0157,0.0079,0.0208,0.356,0.0652,0.2264,0.0206,0.007,0.0141
5,F5,9310541,0.4675,1249547,0.0627,551586,0.0277,63488,0.0032,4660148,0.234,3067116,0.154,1012710,0.0509,0.1176,0.006,0.8764,0.1917,0.0724,0.4883,0.0294,0.0044,0.04,0.3437,0.0332,0.3592,0.0357,0.0012,0.0232
6,F6,7323517,0.3903,1886340,0.1005,0,0,16095,0.0009,7007218,0.3734,3393397,0.1808,-860487,-0.0459,0.2045,0.0017,0.7938,0.2978,0.0159,0.496,0.0619,0.0007,0.0153,0.5187,0.0842,0.3973,0.0151,0.003,0.0343
7,F7,3591399,0.4128,2776373,0.3191,0,0,0,0,1174523,0.135,0,0,1158725,0.1332,0.436,0,0.564,0.198,0.049,0.3965,0.0136,0.008,0.0118,0.5315,0.2089,0.3582,0.0021,0.0109,0.0155
8,F8,5295311,0.3627,1166270,0.0799,25304,0.0017,256173,0.0175,5864312,0.4016,214474,0.0147,1778784,0.1218,0.1736,0.0381,0.7883,0.3812,0.0734,0.3691,0.03,0.0153,0.0267,0.4705,0.0506,0.3512,0.0072,0.0019,0.021
9,F9,2536668,0.4387,162,0,0,0,0,0,2382186,0.412,1233008,0.2132,-369656,-0.0639,0.0001,0,0.9999,0.5467,0.1687,0.376,0.0087,0.0208,0.0251,0.4978,0.2248,0.1178,0.0154,0.0363,0.0061
